transaction_id,date,type,symbol,quantity,price,total_value,fee,account,broker,sector,exchange
TX001,2024-01-15,buy,AAPL,100,185.50,18550.00,9.95,ACC001,Robinhood,Technology,NASDAQ
TX002,2024-01-15,buy,MSFT,50,378.25,18912.50,7.99,ACC001,Fidelity,Technology,NASDAQ
TX003,2024-01-16,sell,GOOGL,25,142.80,3570.00,4.99,ACC002,Charles Schwab,Technology,NASDAQ
TX004,2024-01-16,buy,JPM,75,172.30,12922.50,6.50,ACC001,Chase,Finance,NYSE
TX005,2024-01-17,buy,AMZN,30,155.20,4656.00,5.00,ACC002,Robinhood,Consumer,NASDAQ
TX006,2024-01-17,dividend,JNJ,200,1.24,248.00,0.00,ACC001,Fidelity,Healthcare,NYSE
TX007,2024-01-18,sell,TSLA,40,248.50,9940.00,8.99,ACC001,Robinhood,Automotive,NASDAQ
TX008,2024-01-18,buy,NVDA,20,565.30,11306.00,4.95,ACC002,Charles Schwab,Technology,NASDAQ
TX009,2024-01-19,buy,V,45,278.90,12550.50,5.50,ACC001,Fidelity,Finance,NYSE
TX010,2024-01-19,sell,PG,60,158.40,9504.00,6.99,ACC002,Charles Schwab,Consumer,NYSE
TX011,2024-01-20,buy,UNH,25,542.60,13565.00,7.50,ACC001,Fidelity,Healthcare,NYSE
TX012,2024-01-20,buy,HD,35,345.80,12103.00,5.99,ACC002,Robinhood,Consumer,NYSE
TX013,2024-01-21,dividend,XOM,150,0.95,142.50,0.00,ACC001,Charles Schwab,Energy,NYSE
TX014,2024-01-21,sell,MA,30,415.20,12456.00,7.25,ACC001,Fidelity,Finance,NYSE
TX015,2024-01-22,buy,COST,15,682.50,10237.50,4.50,ACC002,Fidelity,Consumer,NASDAQ
TX016,2024-01-22,buy,DIS,80,112.40,8992.00,6.00,ACC001,Robinhood,Entertainment,NYSE
TX017,2024-01-23,sell,INTC,100,48.20,4820.00,5.99,ACC002,Charles Schwab,Technology,NASDAQ
TX018,2024-01-23,buy,KO,200,59.80,11960.00,8.50,ACC001,Fidelity,Consumer,NYSE
TX019,2024-01-24,buy,PEP,120,175.30,21036.00,7.95,ACC002,Fidelity,Consumer,NASDAQ
TX020,2024-01-24,dividend,ABBV,80,1.41,112.80,0.00,ACC001,Charles Schwab,Healthcare,NYSE
TX021,2024-01-25,sell,WMT,90,168.50,15165.00,6.50,ACC001,Fidelity,Consumer,NYSE
TX022,2024-01-25,buy,MRK,60,125.40,7524.00,4.95,ACC002,Robinhood,Healthcare,NYSE
TX023,2024-01-26,buy,ABT,100,110.25,11025.00,5.50,ACC001,Charles Schwab,Healthcare,NYSE
TX024,2024-01-26,buy,CVX,40,148.90,5956.00,4.99,ACC002,Fidelity,Energy,NYSE
TX025,2024-01-27,sell,CRM,25,295.60,7390.00,6.25,ACC001,Fidelity,Technology,NYSE
