product,region,date,sales,quantity
Laptop Pro,North,2024-01-15,2500.00,5
Smartphone X,South,2024-01-16,1200.00,10
Tablet Air,East,2024-01-17,800.00,15
Laptop Pro,West,2024-01-18,2500.00,3
Smartphone X,North,2024-01-19,1200.00,8
Tablet Air,South,2024-01-20,800.00,12
Laptop Pro,East,2024-01-21,2500.00,7
Smartphone X,West,2024-01-22,1200.00,6
Tablet Air,North,2024-01-23,800.00,20
Laptop Pro,South,2024-01-24,2500.00,4
Smartphone X,East,2024-01-25,1200.00,9
Tablet Air,West,2024-01-26,800.00,11
Monitor Ultra,North,2024-02-01,450.00,25
Monitor Ultra,South,2024-02-02,450.00,18
Monitor Ultra,East,2024-02-03,450.00,22
Monitor Ultra,West,2024-02-04,450.00,15
Keyboard RGB,North,2024-02-05,120.00,50
Keyboard RGB,South,2024-02-06,120.00,45
Keyboard RGB,East,2024-02-07,120.00,38
Keyboard RGB,West,2024-02-08,120.00,42
Mouse Wireless,North,2024-02-09,80.00,60
Mouse Wireless,South,2024-02-10,80.00,55
Mouse Wireless,East,2024-02-11,80.00,48
Mouse Wireless,West,2024-02-12,80.00,52
Headphones Pro,North,2024-03-01,350.00,30
Headphones Pro,South,2024-03-02,350.00,28
Headphones Pro,East,2024-03-03,350.00,35
Headphones Pro,West,2024-03-04,350.00,32
Webcam HD,North,2024-03-05,95.00,40
Webcam HD,South,2024-03-06,95.00,38
Webcam HD,East,2024-03-07,95.00,42
Webcam HD,West,2024-03-08,95.00,36
